Població de fet per municipis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDTaula,306,,,"1497,1515 i 1553  es refereix a focs",,,,,,,,,,,,,,,,,,,,,,,,,
Font,Censos i padrons,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Àmbit,Catalunya,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escala,Municipis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Període,1497-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variables,Nom,Classificació,Descripció,,,,,,,,,,,,,,,,,,,,,,,,,,
,Provincia,ProvinciaCat,Província,,,,,,,,,,,,,,,,,,,,,,,,,,
,Comarca,Comarca41,comarca,,,,,,,,,,,,,,,,,,,,,,,,,,
,Municipi,MunicipiCatHist,Municipi,,,,,,,,,,,,,,,,,,,,,,,,,,
,Any,Any1497-91,Any,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dades,A19:E23569,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROVINCIA,COMARCA,MUNICIPI,ANY,POBLACIÓ,,,,,,,,,,,,,,,,,,,,,,,,,
08,21,08007,1970,4023,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08007,1975,4234,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08007,1981,4648,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08007,1986,4654,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08007,1991,4733,,,,,,,,,,,,,,,,,,,,,,,,,1
08,6,08008,1497,45,,,,,,,,,,,,,,,,,,,,,,,,,1
08,6,08008,1515,51,,,,,,,,,,,,,,,,,,,,,,,,,1
08,6,08008,1553,61,,,,,,,,,,,,,,,,,,,,,,,,,1
08,6,08008,1717,249,,,,,,,,,,,,,,,,,,,,,,,,,1
08,6,08008,1787,277,,,,,,,,,,,,,,,,,,,,,,,,,1
08,6,08008,1857,720,,,,,,,,,,,,,,,,,,,,,,,,,1
08,6,08008,1860,660,,,,,,,,,,,,,,,,,,,,,,,,,1
08,6,08008,1877,557,,,,,,,,,,,,,,,,,,,,,,,,,1
08,6,08008,1887,568,,,,,,,,,,,,,,,,,,,,,,,,,1
08,6,08008,1900,510,,,,,,,,,,,,,,,,,,,,,,,,,1
08,6,08008,1910,582,,,,,,,,,,,,,,,,,,,,,,,,,1
08,6,08008,1920,593,,,,,,,,,,,,,,,,,,,,,,,,,1
08,6,08008,1930,658,,,,,,,,,,,,,,,,,,,,,,,,,1
08,6,08008,1936,701,,,,,,,,,,,,,,,,,,,,,,,,,1
08,6,08008,1940,672,,,,,,,,,,,,,,,,,,,,,,,,,1
08,6,08008,1945,626,,,,,,,,,,,,,,,,,,,,,,,,,1
08,6,08008,1950,622,,,,,,,,,,,,,,,,,,,,,,,,,1
08,6,08008,1955,509,,,,,,,,,,,,,,,,,,,,,,,,,1
08,6,08008,1960,379,,,,,,,,,,,,,,,,,,,,,,,,,1
08,6,08008,1965,333,,,,,,,,,,,,,,,,,,,,,,,,,1
08,6,08008,1970,239,,,,,,,,,,,,,,,,,,,,,,,,,1
08,6,08008,1975,203,,,,,,,,,,,,,,,,,,,,,,,,,1
08,6,08008,1981,221,,,,,,,,,,,,,,,,,,,,,,,,,1
08,6,08008,1986,192,,,,,,,,,,,,,,,,,,,,,,,,,1
08,6,08008,1991,195,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08009,1497,63,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08009,1515,0,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08009,1553,75,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08009,1717,642,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08009,1787,1064,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08009,1857,2061,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08009,1860,1901,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08009,1877,1935,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08009,1887,1952,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08009,1900,2014,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08009,1910,2131,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08009,1920,2288,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08009,1930,2615,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08009,1936,2674,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08009,1940,3064,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08009,1945,2855,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08009,1950,2889,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08009,1955,3208,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08009,1960,3522,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08009,1965,3688,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08009,1970,4058,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08009,1975,4986,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08009,1981,6515,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08009,1986,7163,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08009,1991,7819,,,,,,,,,,,,,,,,,,,,,,,,,1
08,7,08010,1497,36,,,,,,,,,,,,,,,,,,,,,,,,,1
08,7,08010,1515,28,,,,,,,,,,,,,,,,,,,,,,,,,1
08,7,08010,1553,54,,,,,,,,,,,,,,,,,,,,,,,,,1
08,7,08010,1717,588,,,,,,,,,,,,,,,,,,,,,,,,,1
08,7,08010,1787,1099,,,,,,,,,,,,,,,,,,,,,,,,,1
08,7,08010,1857,1839,,,,,,,,,,,,,,,,,,,,,,,,,1
08,7,08010,1860,1878,,,,,,,,,,,,,,,,,,,,,,,,,1
08,7,08010,1877,1766,,,,,,,,,,,,,,,,,,,,,,,,,1
08,7,08010,1887,1987,,,,,,,,,,,,,,,,,,,,,,,,,1
08,7,08010,1900,2543,,,,,,,,,,,,,,,,,,,,,,,,,1
08,7,08010,1910,2304,,,,,,,,,,,,,,,,,,,,,,,,,1
08,7,08010,1920,2115,,,,,,,,,,,,,,,,,,,,,,,,,1
08,7,08010,1930,2408,,,,,,,,,,,,,,,,,,,,,,,,,1
08,7,08010,1936,2603,,,,,,,,,,,,,,,,,,,,,,,,,1
08,7,08010,1940,2305,,,,,,,,,,,,,,,,,,,,,,,,,1
08,7,08010,1945,2405,,,,,,,,,,,,,,,,,,,,,,,,,1
08,7,08010,1950,2400,,,,,,,,,,,,,,,,,,,,,,,,,1
08,7,08010,1955,2724,,,,,,,,,,,,,,,,,,,,,,,,,1
08,7,08010,1960,3154,,,,,,,,,,,,,,,,,,,,,,,,,1
08,7,08010,1965,3423,,,,,,,,,,,,,,,,,,,,,,,,,1
08,7,08010,1970,3232,,,,,,,,,,,,,,,,,,,,,,,,,1
08,7,08010,1975,3743,,,,,,,,,,,,,,,,,,,,,,,,,1
08,7,08010,1981,4096,,,,,,,,,,,,,,,,,,,,,,,,,1
08,7,08010,1986,4037,,,,,,,,,,,,,,,,,,,,,,,,,1
08,7,08010,1991,4060,,,,,,,,,,,,,,,,,,,,,,,,,1
08,14,08011,1497,16,,,,,,,,,,,,,,,,,,,,,,,,,1
